NAME,SURNAME,AGE,GENDER,CASTE,MOBILE,MEMBERSHIP,VOTER-ID,GRADUATE,ASSEMBLY-CODE,BOOTH-CODE,DOOR_NUMBER,STREET,PINCODE,EMAIL,VEHICLE
rathna,l,34,m,bc,8522588520,8522588520,,,108,33,,,,,
rathna,l,35,m,bc,8522588521,8522588520,,,108,33,,,,,
rathna,l,36,m,bc,8522588520,8522588522,,,108,33,,,,,
rathna,l,37,m,bc,8522588520,8522588520,,,108,33,,,,,
rathna,l,38,m,bc,8522588540,8522588520,,,108,33,,,,,
rathna,l,39,m,Christian,8522588541,8522588541,QW787878754@#,,108,33,,,,,
rathna,l,40,m,Muslim,8522588542,8522588542,QW787878754@^,,108,33,,,,,
rathna,l,41,m,Muslim,522588542,522588542,,,108,33,,,,,
santhosh,e,29,m,oc,7143333333,7143333331,,NO,108,33,,,,,
dillp Kumar,N,30,Male,bc,7143333334,7143333232,,yes,108,33,,,,,
Kavitha,e,30,Female,sc,7143333335,7143333233,,no,108,33,,,,,
Renuka,e,25,F,st,7143333336,7143333234,,Yes,108,33,,,,,
Renuka,e,25,Male,others,7143333337,7143333335,,No,108,33,,,,,
Renuka,e,25,female,christian,7143333338,7143333336,,YES,108,33,,,,,
Renuka,e,25,F EMALE,muslim,7143333339,7143333337,,,108,33,,,,,
Renuka,e,25,M,OC,7143333340,7143333338,,,108,33,,,,,
Renuka,e,25,F,BC,7143333341,7143333339,,,108,33,,,,,
Renuka,e,25,m,SC,7143333342,7143333340,,,108,33,,,,,
Renuka,e,25,f,ST,7143333343,7143333341,,,108,33,1-123,,,,
Renuka,e,25,f,OTHERS,7143333344,7143333342,,,108,33,,,,,
Renuka,e,25,f,Christian,7143333345,7143333343,,,108,33,#2-2,,,,
Renuka,e,25,f,Muslim,7143333346,7143333344,,,108,36,# 3-10/2-B,,,,
Renuka,e,25,f,Christain,7143333347,7143333345,,,108,36,# 10-1-92/3/112-B,,,,
Renuka,e,25,f,mus,7143333348,7143333346,aaaaaaaaaaaaaaa,y,108,36,,,,,
Nagendra ,k,25,M,oc,7747474747,7747474747,14444488Abcxgfh,yES,108,36,#2-23,Nsdsokd,789569,nagendrakorada123@gmail.com,4
Nagendra ,k,25,M,oc,7747474748,7747474748,14444488Abcxgf77,yES,108,36,#2-2,NS-Ssdsd@,789569,nagendra.korada@dhanushinfotech.net,2
Nagendra ,k,25,M,oc,7747474749,7747474749,14444488Abcxgfh86,yES,108,36,#2-2,NS-S,789569,nagendra_korada@yahoo.co.in,4
Nagendra ,k,25,M,oc,7747474750,7747474750,14444488Abcxgfh747,yES,108,36,23163,NS-S,789569,nagemndrakorada@gmail.net,2
Nagendra ,k,25,M,oc,7747474751,7747474751,14444488Abcxgfh744,yES,108,36,*23163,NS-S,789569,NagendraKorada123@gmail.com,4
Nagendra ,k,25,M,oc,7747474752,7747474752,14444488AbcxgfhASD,yES,108,36,*23163,NS-S,789569,jshdhsdj@linkiden.com,2
,,,,,,,,,,,,,,,
santhosh,e,29,m,oc,9123456789,9123456789,93455789,yes,11058,132,19480,PEDDA---,532421,plainaddress,None
abc,x,30,Male,OC,9000000000,1000000000,1010107010,N,10,26,"23-34,nhh",12334,52365,#@%^%#$@#$@#.com ,none
sri ram,l,26,m,oc,9586472585,1585858585,,,,,23163,!#,nbvhg, @domain.com,N    ONE
xyz kumari,I k,31,Female,OC,9000000001,1000000001,1010101071,,10,26,# 56,!@,532     1,Joe Smith <email@gmal.com>,two wheer
xyz kumari,I k,32,Female,OC,9000000011,1000000011,7.41E+11,,nam,name,23163,naras--,5    6,email.gmail.com,two wheeler
xyz kumari,I k,33,Female,OC,9000000021,1000000021,1A2S3Q4S5A2W454,,@,@,ascff,dhhsd,5236526,"""email""@gmail.com",Two Wheeler
xyz kumari,I k,34,Female,OC,9000000031,1000000031,1111111jsjsjsjsjs,,21,21,^&^^&,212121,#122s,1234567890@gmail.com,T      wo Wheeler
korada,hgj,25,MALe,Others,965742135,91234567890,5463714589,YES,,,":""""",:'.';,2aas,_______@gmail.com,Two W     heeler
BALA kumari,elpanda,25,Male,SC,9523457412,9523457412,uu5468514587,,108,800,$!#,sdsd,,email@gmail.co.jp,2585
BALA kumari,elpanda,26,Male,S C,8523457412,8523457412,uu5463214587,,108,26,HD,NAEA,#@,plainaddress,_+7585
BALA,v,25,Male,OC,8523697412,2365895402,ii54632145907,123,108,33,SD,"NARASANNAP\ETA  ,fdf,dfdfd",8523@,gmail.com,foue Wheeller
,,,,,1234567890,,,,108,33,2-Feb,,,email.gmail.com,four Wheeler
raju,h,18,Male,abc,7896325417,5638276267,54641274589,No,108,36,3-Jun,,,gmail@gmail@gmail.com,f     our Wheeler
,,,,abc,7896325489,,,,108,36,Jun-65,,,.email@gmail.com ,four w  heeler
